from,to,relation,show,instagram
stdü,fipa,0,0,1
stdü,navo,0,0,1
stdü,saya,0,0,1
stdü,evbe,0,0,1
stdü,mimo,0,0,1
stdü,hakr,0,0,1
stdü,hufe,0,0,1
tata,anla,0,0,1
tata,anre,0,0,1
tata,frfu,0,0,1
tata,gifa,0,0,1
tata,hasu,0,0,1
tata,jehi,0,0,1
tata,jost,0,0,1
tata,lino,0,0,1
tata,maan,0,0,1
tata,pise,0,0,1
tata,hara,0,0,1
tata,liba,0,0,1
tata,rywö,0,0,1
tata,jede,0,0,1
tata,makl,0,0,1
tata,paza,0,0,1
tata,loma,0,0,1
tata,sarja,0,0,1
tata,coci,0,0,1
tata,aula,0,0,1
tata,sasi,0,0,1
tata,jegr,0,0,1
tata,tikü,0,0,1
tata,chbr,0,0,1
tata,lamo,0,0,1
tata,kenj,0,0,1
tata,becm,0,0,1
tata,elpi,0,0,1
tata,cast,0,0,1
tata,olgi,0,0,1
tata,siho,0,0,1
tata,yasy,0,0,1
tata,umte,0,0,1
tata,jeig,0,0,1
tata,tako,0,0,1
tata,joest,0,0,1
tata,navo,0,0,1
sigo,chok,0,0,1
sigo,sarja,0,0,1
sigo,paro,0,0,1
stsc,bekl,0,0,1
stsc,chok,0,0,1
stsc,stdü,0,0,1
stsc,joho,0,0,1
stsc,tiho,0,0,1
stsc,liba,0,0,1
stsc,rywö,0,0,1
stsc,paza,0,0,1
stsc,loma,0,0,1
stsc,sarja,0,0,1
stsc,elpi,0,0,1
hara,tata,0,0,1
hara,pipa,0,0,1
hara,edpi,0,0,1
hara,gisi,0,0,1
pipa,pise,0,0,1
pipa,tata,0,0,1
pipa,elpi,0,0,1
pise,anse,0,0,1
pise,anre,0,0,1
pise,chok,0,0,1
pise,frfu,0,0,1
pise,hasu,0,0,1
pise,jost,0,0,1
pise,lale,0,0,1
pise,lino,0,0,1
pise,maan,0,0,1
pise,shfi,0,0,1
pise,stdü,0,0,1
pise,tata,0,0,1
pise,coci,0,0,1
pise,inki,0,0,1
pise,dicv,0,0,1
pise,umte,0,0,1
tiho,stsc,0,0,1
tiho,liba,0,0,1
tiho,rywö,0,0,1
tope,caka,0,0,1
tope,jost,0,0,1
tope,mikl,0,0,1
tope,jede,0,0,1
tope,makl,0,0,1
tope,ersi,0,0,1
tope,coci,0,0,1
tope,pahe,0,0,1
tope,nagr,0,0,1
tope,chbr,0,0,1
tope,cast,0,0,1
tope,fipa,0,0,1
tope,jogü,0,0,1
tope,umte,0,0,1
tope,josst,0,0,1
palj,caka,0,0,1
palj,chok,0,0,1
palj,delo,0,0,1
palj,hasu,0,0,1
palj,jost,0,0,1
palj,lale,0,0,1
palj,maan,0,0,1
palj,tata,0,0,1
palj,liba,0,0,1
palj,edpi,0,0,1
palj,mikl,0,0,1
palj,jede,0,0,1
palj,makl,0,0,1
palj,emfe,0,0,1
palj,nagr,0,0,1
palj,tikü,0,0,1
palj,chbr,0,0,1
palj,lamo,0,0,1
palj,becm,0,0,1
palj,elpi,0,0,1
palj,henn,0,0,1
palj,joma,0,0,1
palj,vimi,0,0,1
palj,cast,0,0,1
palj,stst,0,0,1
palj,jeig,0,0,1
palj,garo,0,0,1
palj,tako,0,0,1
palj,saya,0,0,1
palj,hufe,0,0,1
frfu,anla,0,0,1
frfu,anse,0,0,1
frfu,anre,0,0,1
frfu,chok,0,0,1
frfu,dawe,0,0,1
frfu,delo,0,0,1
frfu,hasu,0,0,1
frfu,jehi,0,0,1
frfu,mase,0,0,1
frfu,pise,0,0,1
frfu,stdü,0,0,1
frfu,tata,0,0,1
frfu,coci,0,0,1
frfu,chbr,0,0,1
liba,stsc,0,0,1
liba,tiho,0,0,1
liba,palj,0,0,1
liba,jede,0,0,1
liba,makl,0,0,1
liba,loma,0,0,1
liba,emfe,0,0,1
liba,nagr,0,0,1
liba,arie,0,0,1
liba,henn,0,0,1
liba,joma,0,0,1
liba,tako,0,0,1
rywö,jost,0,0,1
rywö,stsc,0,0,1
rywö,joho,0,0,1
rywö,tiho,0,0,1
rywö,jede,0,0,1
rywö,makl,0,0,1
rywö,paza,0,0,1
rywö,tikü,0,0,1
rywö,xast,0,0,1
rywö,caog,0,0,1
rywö,olgi,0,0,1
rywö,paro,0,0,1
edpi,caka,0,0,1
edpi,jost,0,0,1
edpi,lale,0,0,1
edpi,tata,0,0,1
edpi,hara,0,0,1
edpi,palj,0,0,1
edpi,jede,0,0,1
edpi,sarja,0,0,1
edpi,emfe,0,0,1
edpi,jegr,0,0,1
edpi,anro,0,0,1
edpi,becm,0,0,1
edpi,elpi,0,0,1
edpi,henn,0,0,1
edpi,joma,0,0,1
edpi,stst,0,0,1
edpi,liga,0,0,1
edpi,dicv,0,0,1
edpi,jogü,0,0,1
edpi,umte,0,0,1
edpi,joest,0,0,1
mikl,bekl,0,0,1
mikl,caka,0,0,1
mikl,chok,0,0,1
mikl,dawe,0,0,1
