from,to,vote,relation,show,instagram,love,
jede,chok,,,,1,,
jede,delo,,,,1,,
jede,gifa,,,,1,,
jede,hasu,,,,1,,
jede,tata,,,,1,,
jede,tope,,,,1,,
jede,palj,,,,1,,
jede,liba,,,,1,,
jede,rywö,,,,1,,
jede,edpi,,,,1,,
jede,mikl,,,,1,,
jede,makl,,,,1,,
jede,saja,,,,1,,
jede,coci,,,,1,,
jede,nire,,,,1,,
jede,nagr,,,,1,,
jede,jegr,,,,1,,
jede,chbr,,,,1,,
jede,lamo,,,,1,,
jede,inki,,,,1,,
jede,becm,,,,1,,
jede,henn,,,,1,,
jede,joma,,,,1,,
jede,liga,,,,1,,
jede,siho,,,,1,,
jede,masp,,,,1,,
jede,umte,,,,1,,
jede,jeig,,,,1,,
jede,garo,,,,1,,
jede,tako,,,,1,,
jede,joest,,,,1,,
jede,jelo,,,,1,,
jede,evbe,,,,1,,
makl,chok,,,,1,,
makl,delo,,,,1,,
makl,jost,,,,1,,
makl,tata,,,,1,,
makl,tope,,,,1,,
makl,palj,,,,1,,
makl,liba,,,,1,,
makl,rywö,,,,1,,
makl,mikl,,,,1,,
makl,jede,,,,1,,
makl,saja,,,,1,,
makl,ersi,,,,1,,
makl,coci,,,,1,,
makl,pahe,,,,1,,
makl,nire,,,,1,,
makl,chbr,,,,1,,
makl,becm,,,,1,,
makl,lefü,,,,1,,
makl,joja,,,,1,,
makl,olgi,,,,1,,
makl,umte,,,,1,,
makl,jeig,,,,1,,
makl,jelo,,,,1,,
makl,paro,,,,1,,
paza,delo,,,,1,,
paza,jost,,,,1,,
paza,tata,,,,1,,
paza,stsc,,,,1,,
paza,joho,,,,1,,
paza,tiho,,,,1,,
paza,liba,,,,1,,
paza,rywö,,,,1,,
paza,edpi,,,,1,,
paza,loma,,,,1,,
paza,ersi,,,,1,,
paza,sasi,,,,1,,
paza,umte,,,,1,,
paza,josst,,,,1,,
paza,jelo,,,,1,,
loma,delo,,,,1,,
loma,jost,,,,1,,
loma,tata,,,,1,,
loma,stsc,,,,1,,
loma,liba,,,,1,,
loma,edpi,,,,1,,
loma,paza,,,,1,,
loma,alri,,,,1,,
loma,sabe,,,,1,,
loma,saja,,,,1,,
loma,jelo,,,,1,,
loma,saya,,,,1,,
ersi,bekl,,,,1,,
ersi,chok,,,,1,,
ersi,delo,,,,1,,
ersi,jost,,,,1,,
ersi,tope,,,,1,,
ersi,mikl,,,,1,,
ersi,makl,,,,1,,
ersi,paza,,,,1,,
ersi,lubi,,,,1,,
ersi,cast,,,,1,,
ersi,siho,,,,1,,
ersi,umte,,,,1,,
saja,hasu,,,,1,,
saja,jost,,,,1,,
saja,palj,,,,1,,
saja,loma,,,,1,,
saja,aula,,,,1,,
saja,kenj,,,,1,,
saja,sisa,,,,1,,
saja,anro,,,,1,,
saja,arie,,,,1,,
saja,becm,,,,1,,
saja,elpi,,,,1,,
saja,henn,,,,1,,
saja,joma,,,,1,,
saja,nell,,,,1,,
saja,lefü,,,,1,,
saja,caog,,,,1,,
saja,cast,,,,1,,
saja,joja,,,,1,,
saja,olgi,,,,1,,
saja,rogr,,,,1,,
sisa,hasu,,,,1,,
sisa,coci,,,,1,,
sisa,aula,,,,1,,
sisa,jegr,,,,1,,
sisa,saja,,,,1,,
sisa,kenj,,,,1,,
sisa,xast,,,,1,,
sisa,anro,,,,1,,
sisa,henn,,,,1,,
sisa,joma,,,,1,,
sisa,nell,,,,1,,
sisa,lefü,,,,1,,
sisa,caog,,,,1,,
sisa,cast,,,,1,,
sisa,olgi,,,,1,,
sisa,rogr,,,,1,,
sisa,jioc,,,,1,,
sisa,siho,,,,1,,
sisa,umte,,,,1,,
sisa,joest,,,,1,,
xast,rywö,,,,1,,
xast,edpi,,,,1,,
xast,lubi,,,,1,,
xast,pahe,,,,1,,
xast,jegr,,,,1,,
xast,lamo,,,,1,,
xast,sisa,,,,1,,
xast,henn,,,,1,,
xast,lefü,,,,1,,
xast,caog,,,,1,,
xast,cast,,,,1,,
xast,joja,,,,1,,
xast,olgi,,,,1,,
xast,rogr,,,,1,,
anro,lale,,,,1,,
anro,edpi,,,,1,,
anro,nagr,,,,1,,
anro,saja,,,,1,,
anro,kenj,,,,1,,
anro,sisa,,,,1,,
anro,henn,,,,1,,
anro,joma,,,,1,,
anro,caog,,,,1,,
anro,joja,,,,1,,
anro,olgi,,,,1,,
anro,rogr,,,,1,,
anro,joest,,,,1,,
anro,jelo,,,,1,,
arie,anla,,,,1,,
arie,gifa,,,,1,,
arie,liba,,,,1,,
arie,coci,,,,1,,
arie,saja,,,,1,,
arie,becm,,,,1,,
arie,elpi,,,,1,,
arie,joma,,,,1,,
arie,cast,,,,1,,
arie,dicv,,,,1,,
arie,brpa,,,,1,,
arie,umte,,,,1,,
arie,saya,,,,1,,
arie,mimo,,,,1,,
becm,chok,,,,1,,
becm,gifa,,,,1,,
becm,hasu,,,,1,,
becm,lino,,,,1,,
becm,tata,,,,1,,
becm,palj,,,,1,,
